Id_Usuario,Nombre_Película,Género_Película,Duración (minutos),Minutos_vistos,Porcentaje_visualizado,Num_visualizaciones,Calificación_usuario,
106,Titanic,Animación,142,71,50,4,3.5,
772,The Godfather,Aventura,160,158,98.75,1,3.2,
822,The Lord of the Rings,Drama,87,25,28.74,1,3.3,
477,The Dark Knight,Romance,138,81,58.7,4,,
703,The Dark Knight,Fantasía,124,111,89.52,2,4.4,
402,The Godfather,Comedia,106,79,,3,3.2,
730,La La Land,Acción,131,59,45.04,2,4.7,
556,Interstellar,Acción,97,2,2.06,4,1,
162,Avengers: Endgame,Comedia,170,99,58.24,3,4.1,
202,Interstellar,Misterio,165,8,4.85,2,3.9,
958,Inception,Aventura,95,16,16.84,3,3.7,
996,Fight Club,Comedia,145,19,13.1,4,1.1,
270,The Matrix,Fantasía,84,51,60.71,3,2.5,
863,The Lord of the Rings,Animación,161,130,80.75,3,4.9,
816,Interstellar,Comedia,82,7,8.54,2,2,
271,Pulp Fiction,Fantasía,170,137,,3,4.8,
456,Inception,Romance,160,167,104.38,2,1.6,
462,The Shawshank Redemption,Thriller,159,20,12.58,2,3.8,
727,Forrest Gump,Ciencia Ficción,149,8,5.37,2,4.7,
252,The Shawshank Redemption,Ciencia Ficción,86,35,40.7,4,5.2,
702,Avengers: Endgame,Drama,129,72,55.81,2,4.7,
296,Inception,Aventura,93,68,73.12,2,3.9,
725,The Lord of the Rings,Animación,117,101,86.32,1,2.4,
720,Titanic,Thriller,158,106,67.09,1,3.2,
749,Gladiator,Thriller,126,83,65.87,3,2.7,
338,The Matrix,Romance,112,107,95.54,1,4.7,
879,Forrest Gump,Comedia,122,73,59.84,3,2.5,
53,The Shawshank Redemption,Aventura,170,148,87.06,5,1.3,
792,La La Land,Acción,108,41,37.96,3,1.4,
922,Forrest Gump,Thriller,136,135,99.26,3,3.8,
217,Pulp Fiction,Fantasía,84,13,15.48,1,1.3,
764,Pulp Fiction,Acción,172,20,,4,4.4,
188,Titanic,Drama,175,172,98.29,8,3.1,
380,Avengers: Endgame,Comedia,139,56,40.29,3,1.4,
493,Pulp Fiction,Comedia,149,51,34.23,3,2.5,
41,Inception,Animación,81,34,41.98,3,1.9,
157,The Matrix,Thriller,149,88,59.06,4,3.8,
15,The Lord of the Rings,Romance,122,9,7.38,1,,
813,Titanic,Misterio,83,33,39.76,3,1.9,
65,Inception,Misterio,135,135,100,1,4.1,
857,The Dark Knight,Ciencia Ficción,172,156,90.7,4,,
839,La La Land,Fantasía,138,42,30.43,1,1.9,
521,Gladiator,Acción,168,105,62.5,2,2.2,
344,Coco,Drama,88,30,34.09,4,4.5,
129,Gladiator,Ciencia Ficción,82,37,45.12,2,4.8,
648,Pulp Fiction,Comedia,169,131,77.51,3,3.2,
472,The Dark Knight,Acción,127,11,8.66,4,4.6,
63,Interstellar,Aventura,122,119,97.54,1,3.1,
139,Interstellar,Thriller,170,148,87.06,2,3.3,
499,The Lord of the Rings,Drama,179,109,60.89,8,3.3,
593,Pulp Fiction,Aventura,175,47,26.86,3,1.9,
392,The Shawshank Redemption,Romance,80,14,17.5,4,1.5,
675,Inception,Thriller,136,67,49.26,3,1.1,
419,Pulp Fiction,Acción,132,122,92.42,1,3.4,
289,Fight Club,Thriller,95,14,14.74,1,1.8,
379,Forrest Gump,Ciencia Ficción,130,114,87.69,1,2,
773,The Lord of the Rings,Animación,154,8,5.19,4,2.8,
490,Gladiator,Ciencia Ficción,169,72,42.6,2,4.3,
231,Interstellar,Romance,134,44,32.84,1,4,
41,La La Land,Fantasía,80,57,71.25,2,2.2,
28,The Godfather,Aventura,169,18,10.65,4,4.4,
135,Coco,Ciencia Ficción,107,74,69.16,1,1.6,
201,Interstellar,Animación,132,73,55.3,3,4.8,
840,The Lord of the Rings,Fantasía,137,42,30.66,4,3,
780,Gladiator,Ciencia Ficción,152,58,38.16,3,1.3,
930,The Lord of the Rings,Comedia,139,63,45.32,1,4.8,
33,Forrest Gump,Animación,138,134,97.1,1,2.8,
48,Gladiator,Aventura,101,30,29.7,4,1.4,
503,Avengers: Endgame,Drama,87,80,91.95,1,1.6,
407,The Godfather,Misterio,128,28,21.88,4,3.4,
574,Pulp Fiction,Fantasía,121,14,11.57,1,1.8,
728,Avengers: Endgame,Comedia,106,75,70.75,3,3.1,
805,The Dark Knight,Drama,118,40,33.9,4,4.7,
99,La La Land,Acción,162,104,64.2,3,3.1,
684,The Godfather,Animación,104,2,,2,4.6,
872,Gladiator,Comedia,117,89,76.07,4,3,
726,Gladiator,Thriller,164,65,39.63,1,4.2,
987,Fight Club,Acción,103,23,22.33,4,,
547,Titanic,Acción,103,31,30.1,4,4.7,
961,Fight Club,Fantasía,139,104,74.82,5,4.7,
739,The Matrix,Animación,162,59,36.42,2,1.1,
613,Fight Club,Comedia,129,14,10.85,4,2.3,
943,Inception,Romance,145,87,60,3,4.9,
462,The Dark Knight,Comedia,93,32,34.41,4,2.8,
643,Avengers: Endgame,Ciencia Ficción,132,109,82.58,1,3.2,
769,Forrest Gump,Acción,111,71,63.96,3,2,
5,Avengers: Endgame,Aventura,175,128,73.14,3,4.3,
218,Avengers: Endgame,Acción,171,110,64.33,3,2.9,
503,The Godfather,Acción,127,34,26.77,1,2.1,
767,Gladiator,Misterio,118,4,3.39,2,4.8,
398,The Matrix,Thriller,119,52,43.7,1,4.2,
871,The Matrix,Romance,121,121,100,1,1.6,
795,Forrest Gump,Drama,156,103,66.03,2,1.7,
393,The Dark Knight,Drama,155,68,43.87,1,3.6,
207,The Godfather,Thriller,87,51,58.62,1,1.3,
15,Interstellar,Acción,158,11,6.96,2,4.6,
858,The Lord of the Rings,Drama,105,6,5.71,1,1.6,
554,Fight Club,Animación,91,42,46.15,1,0.3,
892,The Lord of the Rings,Romance,122,58,47.54,5,2.5,
461,The Lord of the Rings,Drama,130,21,16.15,1,2.1,
691,Pulp Fiction,Thriller,170,106,62.35,2,3.1,
575,The Lord of the Rings,Ciencia Ficción,161,68,42.24,2,1,
864,The Matrix,Drama,179,119,66.48,4,1.3,
743,Fight Club,Romance,142,46,32.39,4,3.2,
241,Fight Club,Fantasía,128,20,15.62,3,1.7,
564,Inception,Fantasía,106,16,15.09,2,3.1,
96,The Dark Knight,Animación,88,13,14.77,2,1.3,
900,Pulp Fiction,Comedia,118,49,41.53,4,1.8,
734,The Lord of the Rings,Comedia,144,5,3.47,4,2,
485,Titanic,Drama,150,5,3.33,4,4.9,
407,Interstellar,Aventura,169,6,3.55,1,3.7,
231,Avengers: Endgame,Ciencia Ficción,150,117,78,4,3.2,
749,Gladiator,Thriller,86,42,48.84,4,3.5,
655,Inception,Ciencia Ficción,151,115,76.16,4,5.8,
171,Fight Club,Fantasía,159,88,55.35,1,2.1,
541,Fight Club,Drama,146,16,10.96,3,3.1,
36,The Shawshank Redemption,Romance,89,57,,3,1.3,
525,Pulp Fiction,Thriller,150,28,18.67,4,2.7,
160,The Lord of the Rings,Ciencia Ficción,164,53,32.32,2,2.1,
839,La La Land,Romance,132,116,87.88,3,4.3,
699,Pulp Fiction,Thriller,174,113,64.94,3,2.2,
243,The Shawshank Redemption,Ciencia Ficción,166,163,98.19,3,1.3,
86,Coco,Animación,136,36,26.47,1,,
796,Avengers: Endgame,Fantasía,170,118,69.41,3,3,
578,Pulp Fiction,Acción,165,51,30.91,3,3.4,
682,Fight Club,Thriller,106,9,,3,1.9,
557,The Matrix,Fantasía,133,22,16.54,3,3.9,
574,The Godfather,Misterio,83,83,100,3,1.2,
953,Fight Club,Aventura,167,142,85.03,6,4.4,
646,Inception,Drama,102,57,55.88,4,0.1,
796,The Dark Knight,Misterio,127,51,40.16,3,3.6,
28,Coco,Romance,162,150,92.59,2,4.4,
620,The Shawshank Redemption,Thriller,121,82,67.77,3,1.1,
556,Interstellar,Drama,82,43,52.44,3,2.7,
340,Gladiator,Drama,170,155,91.18,3,4.1,
798,Interstellar,Misterio,82,17,20.73,3,2.9,
958,La La Land,Misterio,107,124,115.89,1,3.9,
331,Fight Club,Acción,142,73,51.41,3,0.5,
640,Inception,Ciencia Ficción,160,72,45,3,4,
506,The Lord of the Rings,Thriller,110,47,42.73,3,4.8,
348,Fight Club,Fantasía,89,0,0,3,4.6,
473,The Dark Knight,Comedia,128,17,13.28,3,2.9,
231,The Matrix,Thriller,165,29,17.58,2,3.4,
190,Avengers: Endgame,Thriller,173,6,3.47,3,3.6,
225,Titanic,Thriller,100,2,2,2,5,
385,Gladiator,Drama,179,133,74.3,3,1.1,
377,The Dark Knight,Romance,132,14,10.61,1,4.4,
283,The Shawshank Redemption,Drama,166,90,54.22,4,1.3,
958,The Lord of the Rings,Romance,155,145,93.55,3,3.4,
633,The Shawshank Redemption,Misterio,168,119,70.83,4,1.3,
628,Fight Club,Comedia,133,25,18.8,5,4.4,
973,Inception,Drama,136,39,28.68,2,1.7,
745,The Dark Knight,Romance,99,7,7.07,4,1.8,
259,Forrest Gump,Drama,128,42,32.81,2,4,
359,The Lord of the Rings,Aventura,86,30,34.88,4,5,
710,La La Land,Drama,108,26,24.07,4,4.6,
456,Inception,Comedia,127,96,75.59,3,3.3,
411,The Matrix,Comedia,172,43,25,4,4,
649,The Lord of the Rings,Romance,92,64,69.57,1,3.5,
318,The Shawshank Redemption,Romance,82,16,19.51,4,1.2,
677,The Lord of the Rings,Misterio,81,79,97.53,3,5,
225,Titanic,Comedia,95,88,92.63,1,2,
819,Fight Club,Comedia,173,129,74.57,6,4.6,
234,Pulp Fiction,Acción,85,73,85.88,1,2.5,
684,The Shawshank Redemption,Thriller,124,65,52.42,9,4.5,
664,Titanic,Animación,150,18,12,3,,
975,La La Land,Drama,84,73,86.9,7,1.2,
827,Coco,Ciencia Ficción,135,111,82.22,1,1.6,
374,Gladiator,Misterio,150,64,42.67,1,3.4,
672,The Godfather,Thriller,177,137,,2,1.2,
608,Pulp Fiction,Animación,111,14,12.61,2,1.4,
472,Fight Club,Acción,128,119,92.97,1,3,
233,Forrest Gump,Ciencia Ficción,92,38,41.3,8,1.2,
692,Pulp Fiction,Romance,109,55,50.46,1,1.7,
113,Gladiator,Comedia,104,89,85.58,2,1.9,
830,Inception,Aventura,164,88,53.66,4,1.7,
497,Forrest Gump,Misterio,139,136,97.84,1,1.7,
442,The Shawshank Redemption,Fantasía,138,9,6.52,3,4.3,
564,Forrest Gump,Comedia,164,89,54.27,3,4.4,
268,The Dark Knight,Aventura,107,59,55.14,2,,
510,Gladiator,Animación,137,106,77.37,1,,
807,Coco,Romance,99,14,14.14,3,2.2,
386,The Lord of the Rings,Ciencia Ficción,113,44,38.94,3,3.9,
387,Titanic,Animación,84,77,91.67,4,2,
113,Pulp Fiction,Comedia,161,61,37.89,2,4.2,
613,The Dark Knight,Comedia,139,51,36.69,1,4.7,
625,Avengers: Endgame,Ciencia Ficción,122,87,71.31,2,1.9,
952,Forrest Gump,Fantasía,136,90,66.18,2,4.9,
81,The Dark Knight,Aventura,136,88,64.71,8,1.8,
699,La La Land,Animación,154,118,76.62,2,3.3,
113,Interstellar,Romance,133,63,47.37,2,2.1,
2,Gladiator,Comedia,160,55,34.38,1,5,
642,Titanic,Animación,124,53,42.74,2,2.1,
220,The Matrix,Fantasía,165,124,75.15,1,4.6,
566,Inception,Animación,116,56,48.28,3,2.5,
855,Forrest Gump,Ciencia Ficción,163,120,73.62,4,3.5,
997,Gladiator,Romance,127,43,33.86,2,4.4,
736,The Matrix,Acción,133,104,78.2,1,2.5,
225,The Matrix,Ciencia Ficción,127,33,25.98,4,3.3,
385,Avengers: Endgame,Animación,85,76,89.41,4,4.3,
403,Fight Club,Acción,113,76,67.26,1,4.1,
638,Titanic,Comedia,142,20,14.08,1,1.7,
130,The Dark Knight,Acción,157,134,85.35,4,1.9,
53,The Matrix,Fantasía,127,55,43.31,4,4.6,
684,Interstellar,Drama,102,22,,4,1.5,
730,Avengers: Endgame,Fantasía,163,104,63.8,4,3.5,
672,Gladiator,Ciencia Ficción,92,52,56.52,4,4.9,
710,Avengers: Endgame,Drama,126,95,75.4,2,2.8,
416,The Godfather,Ciencia Ficción,123,19,15.45,2,2.3,
247,The Godfather,Misterio,111,86,77.48,1,4.8,
836,The Lord of the Rings,Romance,105,2,1.9,1,3.3,
439,Avengers: Endgame,Thriller,132,110,83.33,2,4.4,
203,La La Land,Comedia,93,21,22.58,4,4.4,
184,The Lord of the Rings,Comedia,131,64,48.85,1,,
123,Forrest Gump,Misterio,115,3,2.61,3,2.5,
401,The Lord of the Rings,Animación,87,29,33.33,2,1.6,
767,The Shawshank Redemption,Aventura,119,82,68.91,3,5,
294,The Dark Knight,Ciencia Ficción,165,53,32.12,3,4.2,
280,The Shawshank Redemption,Thriller,101,24,23.76,2,1.3,
837,The Matrix,Thriller,95,22,23.16,3,2.3,
884,Gladiator,Fantasía,170,56,32.94,4,2.2,
610,Forrest Gump,Fantasía,139,13,9.35,1,2.9,
198,Pulp Fiction,Aventura,139,13,9.35,1,4.8,
982,The Matrix,Animación,89,51,57.3,2,1.9,
907,The Dark Knight,Misterio,104,18,17.31,2,1.7,
511,The Godfather,Acción,110,3,2.73,2,2.5,
752,Titanic,Fantasía,100,57,57,1,5,
144,La La Land,Animación,170,102,60,2,2.7,
609,The Lord of the Rings,Romance,160,66,41.25,4,1.8,
201,Fight Club,Comedia,112,73,65.18,3,3.9,
124,Gladiator,Comedia,110,61,55.45,3,4,
187,Inception,Animación,169,111,65.68,1,4.1,
326,Titanic,Aventura,100,88,88,4,2.5,
464,The Shawshank Redemption,Misterio,115,7,6.09,2,1.5,
349,The Lord of the Rings,Thriller,144,31,21.53,3,,
771,Forrest Gump,Aventura,83,3,3.61,1,,
660,The Shawshank Redemption,Animación,147,20,13.61,1,4.7,
764,Gladiator,Misterio,169,18,10.65,1,3.8,
955,The Shawshank Redemption,Misterio,83,85,102.41,2,3.1,
932,Gladiator,Ciencia Ficción,88,63,71.59,4,2.9,
403,The Shawshank Redemption,Drama,109,30,27.52,1,2.8,
346,Titanic,Comedia,124,106,85.48,2,2.1,
963,Avengers: Endgame,Animación,83,19,22.89,2,3.4,
511,Interstellar,Thriller,148,85,57.43,4,4,
147,Titanic,Drama,102,81,79.41,3,1.5,
148,Avengers: Endgame,Romance,95,33,34.74,2,3.3,
864,Pulp Fiction,Fantasía,101,54,53.47,4,4.9,
711,The Matrix,Ciencia Ficción,151,128,84.77,5,4.7,
820,The Matrix,Fantasía,127,102,80.31,2,1.6,
489,The Dark Knight,Drama,141,94,66.67,2,2,
929,La La Land,Drama,176,98,55.68,2,0.3,
936,La La Land,Fantasía,139,51,36.69,1,4.7,
640,The Lord of the Rings,Thriller,159,32,20.13,2,,
551,Titanic,Thriller,84,74,88.1,4,4.1,
338,Titanic,Acción,159,63,39.62,4,4.6,
872,Inception,Romance,86,4,4.65,6,1.5,
641,Inception,Thriller,130,128,98.46,3,2.9,
779,La La Land,Romance,144,127,88.19,3,4,
988,The Dark Knight,Romance,88,25,28.41,3,2.1,
953,Fight Club,Drama,161,122,75.78,3,1.2,
473,The Matrix,Romance,124,21,16.94,2,4.3,
946,Fight Club,Ciencia Ficción,126,107,84.92,3,2.7,
151,The Lord of the Rings,Fantasía,146,59,,1,4,
415,Gladiator,Acción,103,35,33.98,4,4.6,
990,La La Land,Animación,171,117,68.42,4,2.8,
298,La La Land,Aventura,89,62,69.66,4,2.6,
611,Gladiator,Acción,152,151,99.34,2,1.9,
263,Coco,Ciencia Ficción,156,148,94.87,4,3.4,
764,The Godfather,Acción,127,78,61.42,4,4.9,
144,The Shawshank Redemption,Romance,114,30,26.32,3,3.7,
346,Inception,Drama,133,119,89.47,2,1.4,
624,The Godfather,Aventura,166,87,52.41,3,4.9,
572,Pulp Fiction,Thriller,160,30,18.75,4,3,
881,The Dark Knight,Drama,150,1,0.67,2,4.4,
2,The Dark Knight,Romance,95,93,,9,1.9,
897,Gladiator,Romance,132,89,67.42,3,3.5,
304,Titanic,Aventura,119,14,11.76,2,4.3,
254,The Matrix,Aventura,179,124,69.27,4,3.5,
652,Fight Club,Comedia,99,2,2.02,1,3.1,
453,Inception,Misterio,167,123,73.65,3,3,
37,The Godfather,Misterio,148,77,52.03,4,3,
160,Fight Club,Drama,124,76,61.29,3,1,
9,Titanic,Thriller,85,44,51.76,1,1.5,
233,The Godfather,Acción,171,1,0.58,2,3.6,
99,La La Land,Romance,148,111,75,3,4.5,
659,Avengers: Endgame,Romance,128,108,84.38,3,2.7,
816,The Shawshank Redemption,Comedia,118,65,55.08,3,1.7,
208,Pulp Fiction,Drama,81,52,64.2,4,3.2,
131,Coco,Drama,118,31,26.27,2,1.8,
404,Pulp Fiction,Fantasía,100,0,0,1,1.4,
152,Fight Club,Aventura,119,34,28.57,4,2.3,
54,Fight Club,Thriller,161,44,27.33,8,4.9,
120,Coco,Aventura,133,64,48.12,4,1.2,
673,Fight Club,Thriller,91,2,2.2,1,5,
920,Coco,Ciencia Ficción,160,64,40,3,2,
628,The Godfather,Animación,116,12,10.34,1,4,
587,Coco,Misterio,117,13,11.11,2,3,
625,The Shawshank Redemption,Misterio,94,39,41.49,3,1.3,
968,Coco,Thriller,86,54,62.79,1,1.5,
420,Avengers: Endgame,Misterio,157,98,62.42,4,2,
422,La La Land,Aventura,129,72,55.81,4,,
104,Coco,Romance,144,125,86.81,1,3.8,
852,Interstellar,Aventura,146,145,99.32,7,2.4,
254,Coco,Thriller,123,23,18.7,4,4.6,
227,Fight Club,Drama,110,22,20,1,2.6,
112,Avengers: Endgame,Aventura,122,63,51.64,3,2.1,
510,The Matrix,Misterio,156,129,82.69,1,3.5,
473,The Lord of the Rings,Comedia,127,96,75.59,4,2.4,
99,Avengers: Endgame,Fantasía,161,146,90.68,2,2.9,
153,Titanic,Romance,160,108,67.5,2,,
861,The Lord of the Rings,Misterio,160,140,87.5,7,2.4,
914,Inception,Comedia,140,111,79.29,4,2.8,
896,Inception,Thriller,154,78,50.65,1,4.2,
878,Titanic,Ciencia Ficción,163,120,73.62,3,3.1,
338,Avengers: Endgame,Comedia,89,47,52.81,1,4.4,
706,The Godfather,Animación,108,78,72.22,2,4.8,
822,Titanic,Ciencia Ficción,127,43,33.86,1,1.1,
163,La La Land,Acción,177,37,20.9,2,4.2,
720,The Lord of the Rings,Romance,160,133,83.12,4,,
957,The Lord of the Rings,Misterio,141,51,36.17,5,3.9,
681,Fight Club,Acción,92,56,60.87,1,3.8,
996,Gladiator,Aventura,123,55,44.72,4,,
161,The Dark Knight,Thriller,126,50,39.68,1,2.3,
580,Interstellar,Romance,143,108,75.52,1,3.1,
801,The Lord of the Rings,Drama,170,30,17.65,4,3.5,
398,The Matrix,Ciencia Ficción,132,105,79.55,2,2.6,
277,Titanic,Drama,169,118,69.82,2,1.5,
816,The Shawshank Redemption,Acción,171,114,66.67,2,3.7,
916,Coco,Comedia,156,56,35.9,4,2.2,
504,Gladiator,Comedia,155,53,34.19,4,4.7,
896,The Lord of the Rings,Thriller,123,18,14.63,3,1.3,
392,Titanic,Acción,107,68,63.55,1,2.5,
135,Pulp Fiction,Fantasía,81,37,45.68,4,1.3,
195,Gladiator,Romance,136,72,52.94,3,3.9,
401,The Godfather,Ciencia Ficción,136,124,91.18,3,4.7,
640,Interstellar,Comedia,113,53,46.9,4,3.6,
33,Forrest Gump,Comedia,166,2,1.2,3,1.1,
688,Forrest Gump,Drama,137,72,52.55,3,1.2,
460,Fight Club,Drama,131,124,94.66,3,2.9,
955,Fight Club,Misterio,108,24,22.22,2,4.3,
883,The Godfather,Aventura,114,14,12.28,1,2.9,
470,The Shawshank Redemption,Fantasía,154,130,84.42,3,3,
375,Fight Club,Drama,127,80,62.99,2,1.2,
22,The Dark Knight,Drama,112,112,100,2,4.2,
750,The Lord of the Rings,Romance,154,0,0,3,4.5,
670,Interstellar,Misterio,152,102,67.11,4,3,
38,Avengers: Endgame,Drama,157,117,74.52,4,2.2,
230,Titanic,Ciencia Ficción,88,54,61.36,4,2.2,
365,Avengers: Endgame,Romance,127,83,65.35,7,3.1,
563,The Godfather,Aventura,146,88,60.27,2,2.8,
438,Inception,Acción,172,47,27.33,3,1.7,
776,Titanic,Romance,162,5,3.09,1,4.1,
283,Titanic,Acción,115,51,44.35,4,3.6,
27,Pulp Fiction,Comedia,175,5,2.86,2,2.3,
226,The Godfather,Misterio,150,144,96,2,2.3,
277,The Godfather,Aventura,171,84,49.12,3,3.6,
798,Forrest Gump,Misterio,123,137,111.38,4,4.5,
609,The Matrix,Aventura,161,155,96.27,1,2.3,
284,Avengers: Endgame,Misterio,139,67,48.2,2,2.4,
879,The Shawshank Redemption,Romance,142,41,28.87,9,4.7,
960,The Matrix,Misterio,84,22,26.19,1,4,
481,Coco,Animación,166,52,31.33,3,1.1,
453,The Dark Knight,Aventura,165,29,17.58,2,1.5,
829,La La Land,Acción,169,169,100,2,2.1,
816,Coco,Aventura,155,87,56.13,4,3.6,
659,Inception,Comedia,119,28,23.53,4,0.8,
516,Titanic,Ciencia Ficción,98,75,76.53,3,,
547,Forrest Gump,Animación,126,45,35.71,3,2,
192,Inception,Thriller,144,16,11.11,4,4.5,
49,Titanic,Aventura,146,4,2.74,2,1.1,
512,The Dark Knight,Drama,170,124,72.94,3,4.9,
17,The Matrix,Romance,97,80,82.47,2,2.2,
172,The Godfather,Romance,129,71,55.04,3,4.2,
220,Fight Club,Misterio,109,110,100.92,3,1.9,
158,Avengers: Endgame,Misterio,145,53,36.55,3,2,
477,Fight Club,Romance,84,49,58.33,3,1.6,
46,The Lord of the Rings,Fantasía,172,115,66.86,4,1.9,
373,Gladiator,Animación,176,109,61.93,2,2.1,
518,Pulp Fiction,Animación,121,71,,3,2.8,
99,The Shawshank Redemption,Acción,163,30,18.4,1,,
892,The Dark Knight,Aventura,173,98,56.65,3,3.5,
745,Pulp Fiction,Thriller,84,28,33.33,1,1,
37,The Lord of the Rings,Romance,129,45,34.88,2,3.2,
280,The Lord of the Rings,Aventura,164,31,18.9,4,2.1,
349,The Shawshank Redemption,Animación,137,87,63.5,1,3.4,
497,La La Land,Comedia,158,130,82.28,4,1.3,
302,Titanic,Romance,163,73,44.79,4,1.4,
181,Pulp Fiction,Aventura,87,12,13.79,1,1.3,
607,The Matrix,Animación,110,37,33.64,4,2.1,
99,The Shawshank Redemption,Ciencia Ficción,91,76,83.52,4,3.6,
